Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
1,"0,25X15MM AGULHAS P ACUPUNTURA UNIQMED",SG TECNOLOGIA CLÍNICA,151926,6,10328,287/2021,27/01/2021,"Av.Fábio Eduardo Ramos Esquivel,2100-Canhema-Diadema -SP",SP
2,"0,25X25MM AGULHAS P ACUPUNTURA UNIQMED",SG TECNOLOGIA CLÍNICA,151926,6,10328,287/2021,27/01/2021,"Av.Fábio Eduardo Ramos Esquivel,2100-Canhema-Diadema -SP",SP
3,"0,25X30MM AGULHA PARA ACUPUNTURA UNIQMED",SG TECNOLOGIA CLÍNICA,172026,24,10328,287/2021,27/01/2021,"Av.Fábio Eduardo Ramos Esquivel,2100-Canhema-Diadema -SP",SP
4,"0,25X40MM AGULHA PARA ACUPUNTURA UNIQMED",SG TECNOLOGIA CLÍNICA,172026,3,10328,287/2021,27/01/2021,"Av.Fábio Eduardo Ramos Esquivel,2100-Canhema-Diadema -SP",SP
5,"0,30X75MM AGULHAS P ACUPUNTURA UNIQMED",SG TECNOLOGIA CLÍNICA,151926,24,10328,287/2021,27/01/2021,"Av.Fábio Eduardo Ramos Esquivel,2100-Canhema-Diadema -SP",SP
6,0.5ML 8X0.30 SERINGA INSULINA UNIQMED,SG TECNOLOGIA CLÍNICA,B20440,1,10328,287/2021,27/01/2021,"Av.Fábio Eduardo Ramos Esquivel,2100-Canhema-Diadema -SP",SP
7,1458Q/86 MRI ELETRO QUARTED,ST. JUDE MEDICAL BRASIL LTDA.,BPP228356,1,465786,9130/2021/100929,16/08/2021,CANOAS,RS
8,1458Q/86 MRI ELETRO QUARTED,ST. JUDE MEDICAL BRASIL LTDA.,BPP228357,1,465786,9130/2021/100929,16/08/2021,CANOAS,RS
9,1458Q/86 MRI ELETRO QUARTED,ST. JUDE MEDICAL BRASIL LTDA.,BPP228358,1,465786,9130/2021/100929,16/08/2021,CANOAS,RS
10,1458Q/86 MRI ELETRO QUARTED,ST. JUDE MEDICAL BRASIL LTDA.,BPP228360,1,465787,9130/2021/100929,16/08/2021,CANOAS,RS
11,1458Q/86 MRI ELETRODO QUARTET,St. Jude Medical Brasil Ltda.,BPP228356 / A000102167,1,465786,9130 / 2021 / 100929,16/08/2021,CANOAS,RS
12,1458Q/86 MRI ELETRODO QUARTET,St. Jude Medical Brasil Ltda.,BPP228357 / A000102202,1,465786,9130 / 2021 / 100929,16/08/2021,CANOAS,RS
13,1458Q/86 MRI ELETRODO QUARTET,St. Jude Medical Brasil Ltda.,BPP228358 / A000102202,1,465786,9130 / 2021 / 100929,16/08/2021,CANOAS,RS
14,1458Q/86 MRI ELETRODO QUARTET,St. Jude Medical Brasil Ltda.,BPP228360 / A000102202,1,465787,9130 / 2021 / 100929,16/08/2021,CANOAS,RS
15,1458Q/86 MRI ELETRODO QUARTET,ST. JUDE MEDICAL BRASIL LTDA.,BPU075531 / S000054915,1,364661,N/A,06-Ago-21,ARAPONGAS,PR
16,"1944/52 - ISOFLEX OPTIM - ELETRODO ENDOC.FIX.PASSIVA EM J",St. Jude Medical Brasil Ltda.,CPG223962 / P000111649,1,465767,9130 / 2021 / 100929,16/08/2021,CANOAS,RS
17,"1944/52 - ISOFLEX OPTIM - ELETRODO ENDOC.FIX.PASSIVA EM J",St. Jude Medical Brasil Ltda.,CPG224983 / P000110985,1,465767,9130 / 2021 / 100929,16/08/2021,CANOAS,RS
18,"1944/52 - ISOFLEX OPTIM - ELETRODO ENDOC.FIX.PASSIVA EM J",St. Jude Medical Brasil Ltda.,CPG224985 / P000110985,1,465767,9130 / 2021 / 100929,16/08/2021,CANOAS,RS
19,"1944/52 - ISOFLEX OPTIM - ELETRODO ENDOC.FIX.PASSIVA EM J",St. Jude Medical Brasil Ltda.,CPG224987 / P000110985,1,465767,9130 / 2021 / 100929,16/08/2021,CANOAS,RS
20,1-D MOIST -2.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,404352010300000477,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
21,1-D MOIST -2.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,404352010300000516,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
22,1-D MOIST -2.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,404352010300000505,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
23,1-D MOIST -2.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,404352010300000495,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
24,1-D MOIST -3.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,594424010900000377,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
25,1-D MOIST-12.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,383135010400000137,1,3950615,1349/2020,12/12/2020,OSASCO,SP
26,1-D OASYS +1.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,564998011100000072,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
27,1-D OASYS +2.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,565110011000000346,1,4268203,NA,17/11/2021,MARINGA,PR
28,1-D OASYS +2.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564726011100001000,1,4229477,N/A,13/10/2021,SAO PAULO,SP
29,1-D OASYS +2.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564726011100001000,1,4229477,N/A,13/10/2021,SAO PAULO,SP
30,1-D OASYS +3.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,564941010900000502,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
31,1-D OASYS -0.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,401665010200000550,1,3916369,2521/2020,18/11/2020,SÃO PAULO,SP
