Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
1,1-D MOIST -2.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,200087140100000444,1,3547600-1,2714/2019,20/09/2019,SÃO PAULO,SP
2,1-D MOIST -2.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,138023011100000135,1,3596669,042-08971/2019,04/11/2019,RIO DE JANEIRO,RJ
3,1-D MOIST -2.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,200052140600000363,1,3427587,059-08533/2019,03/06/2019,DUQUE DE CAXIAS,RJ
4,1-D MOIST -3.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216392059100000079,1,3547600-1,2714/2019,20/09/2019,SÃO PAULO,SP
5,1-D MOIST -3.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216392059100000077,1,3547600-1,2714/2019,20/09/2019,SÃO PAULO,SP
6,1-D MOIST -3.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216392059100000078,1,3547601-1,2714/2019,20/09/2019,SÃO PAULO,SP
7,1-D MOIST -3.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216254109400000363,1,3596669,042-08971/2019,04/11/2019,RIO DE JANEIRO,RJ
8,1-D MOIST -4.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216416089700000460,1,3596669,042-08971/2019,04/11/2019,RIO DE JANEIRO,RJ
9,1-D MOIST -5.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216325079700000524,1,3547600-1,2714/2019,20/09/2019,SÃO PAULO,SP
10,1-D MOIST -5.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216325079700000502,1,3547600-1,2714/2019,20/09/2019,SÃO PAULO,SP
11,1-D MOIST -5.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216325079700000503,1,3547600-1,2714/2019,20/09/2019,SÃO PAULO,SP
12,1-D MOIST -5.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216325079700000504,1,3547601-1,2714/2019,20/09/2019,SÃO PAULO,SP
13,1-D OASYS -1.00  (8.5) LEN CON DESCART,JOHNSON & JOHNSON,563974011400000299,1,3580864,1214/2019,21/10/2019,SÃO PAULO,SP
14,1-D OASYS -1.00  (8.5) LEN CON DESCART,JOHNSON & JOHNSON,563974011400000299,1,3580864,1214/2019,21/10/2019,SÃO PAULO,SP
15,1-D OASYS -1.00  (8.5) LEN CON DESCART,JOHNSON & JOHNSON,631436010400000191,1,3596669,042-08971/2019,04/11/2019,RIO DE JANEIRO,RJ
16,1-D OASYS -1.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631073010700003923,1,3485235,NA,06/08/2019,SÃO PAULO,SP
17,1-D OASYS -1.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,631459011000000519,1,3596669,042-08971/2019,04/11/2019,RIO DE JANEIRO,RJ
18,1-D OASYS -2.00  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631264010100003802,1,3420237,NA,31/05/2019,SAO PAULO,SP
19,1-D OASYS -2.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,563848010400003187,1,3420237,NA,31/05/2019,SAO PAULO,SP
20,1-D OASYS -2.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,563847510100002079,1,3485235,NA,06/08/2019,SÃO PAULO,SP
21,1-D OASYS -2.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,563847510100002078,1,3485235,NA,06/08/2019,SÃO PAULO,SP
22,1-D OASYS -3.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,631399010500000012,1,3580864,1214/2019,21/10/2019,SÃO PAULO,SP
23,1-D OASYS -3.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,631399010500000012,1,3580864,1214/2019,21/10/2019,SÃO PAULO,SP
24,1-D OASYS -5.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,563664010700004103,1,3485235,NA,06/08/2019,SÃO PAULO,SP
25,1DM MULT +0.75 MEDIUM (8.4) 5P A GRATIS,JOHNSON & JOHNSON,V0016T6202,1,3485235,NA,06/08/2019,SÃO PAULO,SP
26,1DM MULT +1.00 HIGH (8.4) 5P A GRATIS,JOHNSON & JOHNSON,V0017523PG,1,3485235,NA,06/08/2019,SÃO PAULO,SP
27,1DM MULT +3.25 HIGH (8.4) 5P A GRATIS,JOHNSON & JOHNSON,V000LNH1SZ,1,3485236,NA,06/08/2019,SÃO PAULO,SP
28,1DM MULT +3.25 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,J001PRM0Z5,1,3485234,NA,06/08/2019,SÃO PAULO,SP
29,1DMA +0.00-0.75/170 (8.5) DIAG LENTE,JOHNSON & JOHNSON,J001CGR,2,3485236,NA,06/08/2019,SÃO PAULO,SP
30,1DMA +0.00-0.75/170 (8.5) DIAG LENTE,JOHNSON & JOHNSON,J001M2R,2,3485236,NA,06/08/2019,SÃO PAULO,SP
31,1DMA -0.50-1.25/10 (8.5) DIAG LENTE,JOHNSON & JOHNSON,J001C6R,1,3580682,1214/2019,21/10/2019,SÃO PAULO,SP
