Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/Furtada/ Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
1,CALDÊ K2,"MARJANINDÚSTRIA E",L002,54 CARTUCHOS,000220098,317/2019,26/05/2019,PORTO FERREIRA,SP
2,CALDÊ MAG,"MARJANINDÚSTRIA E",K895,36 CARTUCHOS,000220098,317/2019,26/05/2019,PORTO FERREIRA,SP
3,Capitrat 4x15,"Kley HertzFarmacêutica S/A",123411,12,639877,123/2019,14/01/2019,Franco da Rocha,SP
4,FLORA-BIO 1 BL X 15,"NUTRACOMINDUTRIA E",1907980,2 unidades,326780,2019-028237260-001,15/06/2019,BRUMADINHO,MG
5,FLORASTOR SACHE 4G X 6 (AL),"UNIÃO QUÍMICAFARMACÊUTICA",1906734,252 UN.,167759,953/2019,27/06/2019,CRAVINHOS,SP
6,KIT LAVITAN AZ 3 FR X 60 (PROMOCIONAL),"NUTRACOMINDUSTRIA E",1817173,24 UNIDADES,283893,1970251190205161000,05/02/2019,Padre Carbvalho,MG
7,KIT LAVITAN AZ 3 FR X 60 (PROMOCIONAL),"NUTRACOMINDUTRIA E",1901740,6 unidades,326780,2019-028237260-001,15/06/2019,BRUMADINHO,MG
8,KIT LAVITAN AZ 3 FR X 60 (PROMOCIONAL),"NUTRACOMINDUTRIA E",1901741,24 unidades,326780,2019-028237260-001,15/06/2019,BRUMADINHO,MG
9,KIT LAVITAN AZ MULHER 3 FR X 60 (PROMO),"NUTRACOMINDUSTRIA E",1817931,12 UNIDADES,283893,1970251190205161000,05/02/2019,Padre Carbvalho,MG
10,KIT LAVITAN HAIR 3 CT X 30 (PROMOCIONAL),"NUTRACOMINDUSTRIA E",1819326,24 UNIDADES,283893,1970251190205161000,05/02/2019,Padre Carbvalho,MG
11,KIT LAVITAN OMEGA 3 FR X60 (PROMOCIONAL),"NUTRACOMINDUSTRIA E",1805573,40 UNIDADES,283893,1970251190205161000,05/02/2019,Padre Carbvalho,MG
12,KIT LAVITAN OMEGA 3 FR X60 (PROMOCIONAL),"NUTRACOMINDUTRIA E",1905336,15 unidades,326780,2019-028237260-001,15/06/2019,BRUMADINHO,MG
13,KIT LAVITAN VIT AZ MULHER 3FR X60(PROMO),"NUTRACOMINDUTRIA E",1819061,25 unidades,326780,2019-028237260-001,15/06/2019,BRUMADINHO,MG
14,LAVITAN CABELOS E UNHAS CAPS 2 BL X 15,"NUTRACOMINDUTRIA E",1907524,33 unidades,326780,2019-028237260-001,15/06/2019,BRUMADINHO,MG
15,LAVITAN CABELOS E UNHAS CAPS 2 BL X 15,"NUTRACOMINDUTRIA E",1907797,57 unidades,326780,2019-028237260-001,15/06/2019,BRUMADINHO,MG
16,LAVITAN KIDS COMP MAST FR 60,"NUTRACOMINDUSTRIA E",1812606,1 UNIDADE,283962,1970251190205161000,05/02/2019,Padre Carbvalho,MG
17,LAVITAN KIDS SOL OR FR 240ML SBR LAR,"NUTRACOMINDUSTRIA E",1813832,15 UNIDADES,283962,1970251190205161000,05/02/2019,Padre Carbvalho,MG
18,LAVITAN MAIS BEAUTY CAPS 4 BL X 15,"NUTRACOMINDUSTRIA E",1816622,9 UNIDADES,283962,1970251190205161000,05/02/2019,Padre Carbvalho,MG
19,LAVITAN MEMORIA COMP REV FR X 60,"NUTRACOMINDUTRIA E",1904977,6 unidades,326780,2019-028237260-001,15/06/2019,BRUMADINHO,MG
20,LAVITAN OMEGA CAP FR C/ 60,"NUTRACOMINDUSTRIA E",1900371,3 UNIDADES,283962,1970251190205161000,05/02/2019,Padre Carbvalho,MG
21,ZINCOPRO,"MARJANINDÚSTRIA E",K952,20 CARTUCHOS,000220098,317/2019,26/05/2019,PORTO FERREIRA,SP
