Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
1,ABS HIG SL ADPLUS NOIDIA SS ABA 24X8,"JOHNSON & JOHNSON DO BRASIL INDE COM DE PROD PARA SAÚDE LTDA",02320BF1,"0,04",357168,20E0125000140,08/03/2020,BR 101 SÃO MIGUEL DOS CAMPOS,AL
2,ABS HIG SL ADPLUS NOIDIA SS ABA 24X8,"JOHNSON & JOHNSON DO BRASIL INDE COM DE PROD PARA SAÚDE LTDA",02320BF1,"0,04",357169,20E0125000140,08/03/2020,BR 101 SÃO MIGUEL DOS CAMPOS,AL
3,"ACENEZIL SAB. BARRA CART X 90G FORMFORTE","CIMED INDUSTRIA DEMEDICAMENTOS LTDA",1921374,3,431.363,2020 012574867 - 001,11/03/2020,BELO HORIZONTE,MG
4,ACNEBLOCK GEL 1X30G,KLEY HERTZ FARMACÊUTICA S.A.,165515,4,730904,2199/2020,14/09/2020,SÃO PAULO,SP
5,ACNEBLOCK GEL 1X30G,KLEY HERTZ FARMACÊUTICA S.A.,165515,3,730905,2199/2020,14/09/2020,SÃO PAULO,SP
6,ACNEBLOCK GEL 1X30G,KLEY HERTZ FARMACÊUTICA S.A.,165515,3,730907,2199/2020,14/09/2020,SÃO PAULO,SP
7,ACNEBLOCK GEL 1X30G,KLEY HERTZ FARMACÊUTICA S.A.,165515,3,730909,2199/2020,14/09/2020,SÃO PAULO,SP
8,ACNEBLOCK GEL 1X30G,KLEY HERTZ FARMACÊUTICA S.A.,165515,3,730912,2199/2020,14/09/2020,SÃO PAULO,SP
9,ACNEBLOCK S SABONETE 1X80G,KLEY HERTZ FARMACÊUTICA S.A.,162383,11,717939,892/2020,19/06/2020,SÃO PAULO,SP
10,ACNEBLOCK SABONETE ESFOLIANTE 1X90G,KLEY HERTZ FARMACÊUTICA S.A.,167964,6,730843,2199/2020,14/09/2020,SÃO PAULO,SP
11,ACNEBLOCK SABONETE HERBAL 1X85G,KLEY HERTZ FARMACÊUTICA S.A.,167394,6,730843,2199/2020,14/09/2020,SÃO PAULO,SP
12,ACNEBLOCK SABONETE LIQUIDO 1X150ML,KLEY HERTZ FARMACÊUTICA S.A.,163308,2,730905,2199/2020,14/09/2020,SÃO PAULO,SP
13,ACNEBLOCK SABONETE LIQUIDO 1X150ML,KLEY HERTZ FARMACÊUTICA S.A.,163308,2,730904,2199/2020,14/09/2020,SÃO PAULO,SP
14,ACNEBLOCK SABONETE LIQUIDO 1X150ML,KLEY HERTZ FARMACÊUTICA S.A.,163308,2,730907,2199/2020,14/09/2020,SÃO PAULO,SP
15,ACNEBLOCK SABONETE LIQUIDO 1X150ML,KLEY HERTZ FARMACÊUTICA S.A.,163308,2,730912,2199/2020,14/09/2020,SÃO PAULO,SP
16,ACNEZIL 50 MG/G GEL BG 20G,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2003326,3,437.094,2020-014722225-001,24/03/2020,RIBEIRÃO DAS NEVES,MG
17,ACNEZIL 50 MG/G GEL BG 20G,"NUTRACOM INDUSTRIA E COMÉRCIOLTDA",2005571,2,450797,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
18,ACNEZIL 50 MG/G GEL BG 20G,"NUTRACOM INDUSTRIA E COMÉRCIOLTDA",2005571,2,451310,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
19,ACNEZIL 50 MG/G GEL BG 20G,"NUTRACOM INDUSTRIA E COMÉRCIOLTDA",2005571,3,451093,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
20,ACNEZIL 50MG/G GEL,"NUTRACOM INDUTRIA E COMERCIOLTDA",1919116,4,406.195,2020-001376043-001,09/01/2020,RIBEIRÃO DAS NEVES,MG
21,ACNEZIL GEL SECATIVO,"NUTRACOM INDUTRIA E COMERCIOLTDA",1918593,4,406.195,2020-001376043-001,09/01/2020,RIBEIRÃO DAS NEVES,MG
22,ACNEZIL GEL SECATIVO BG 10 G,"NUTRACOM INDUSTRIA E COMÉRCIOLTDA",2002496,4,450797,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
23,ACNEZIL GEL SECATIVO BG 10 G,"NUTRACOM INDUSTRIA E COMÉRCIOLTDA",2018806,200 UNIDADES,67.641,20E0230000428,03/11/2020,LAJEDO,PE
24,ACNEZIL GEL SECATIVO BG 10 G,"NUTRACOM INDUSTRIA E COMÉRCIOLTDA",2018806,200 UNIDADES,67641,20E0230000428,03/11/2020,LAJEDO,PE
25,"ACNEZIL SAB BARRA CART X 90G FORMFORTE","CIMED INDUSTRIA DEMEDICAMENTOS LTDA",1921374,3,437.094,2020-014722225-001,24/03/2020,RIBEIRÃO DAS NEVES,MG
26,"ACNEZIL SAB BARRA CART X 90G FORMFORTE","NUTRACOM INDUSTRIA E COMERCIOLTDA",1921374,3,437094,2020-014722225-001,24/03/2020,RIBEIRÃO DAS NEVES,MG
