Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
1,1323BR81 – OPTIRAY 320 SERINGA DE 125 mL,"GUERBET IMAGEM DO BRASILLTDA",M112A,20 unidades (1 caixa),9.060  unidades*,1.420 unidades,16742,2020-055419157-001,10/11/2020,Rodovia BR 381 km 718 – Carmo da Cachoeira – MG - Brasil,MG
2,"7101179 - OZEMPIC 1 X 0,25 E 0,5MG X 1,5ML(DUAL DOSE)","NOVO NORDISK FARMACEUTICADO BRASIL LTDA",JP51829,1 UNIDADE,10.426,0,000003792,"918-00532/2019, Dependência dePolícia do Rio de Janeiro",12/12/2019,RIO DE JANEIRO,RJ
3,"7184140 NORDITROPIN NORDIFLEX 15MG/1,5","NOVO NORDISK FARMACEUTICADO BRASIL LTDA",JC71735,1 UNIDADE,3.701,25,138622,2020/218899,23/01/2020,ARAUCÁRIA,PR
4,7193780 - SAXENDA 6MG/ML,"NOVO NORDISK FARMACEUTICADO BRASIL LTDA",JP50992,1 UNIDADE,56.640,0,000003785,"918-00532/2019, Dependência dePolícia do Rio de Janeiro",12/12/2019,RIO DE JANEIRO,RJ
5,AAS PROTECT 100MG CX C/ 30 CP,ELFA MEDICAMENTOS S.A.,ARA00466,15 CAIXA,-,3,N°.000205277,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
6,ABC SPRAY 1X30,KLEY HERTZ FARMACÊUTICA S/A,164970,60,4.728,0,730844,2199/2020,14/09/2020,SÃO PAULO,SP
7,ABC SPRAY 1X30,KLEY HERTZ FARMACÊUTICA S/A,164970,3,4.728,0,730909,2199/2020,14/09/2020,SÃO PAULO,SP
8,ABERALGINA GTS C/20ML/AIR,DISLAB - GO,19L0067,12UN,-,-,243051,1292/2020,21/03/2020,BARUERI,SP
9,ACEBROFILINA 10MG/ML XPE AD FR 1X120ML,BRAINFARMA IND. QUÍM. E FARM.,B19M0949,300,31.592,0,704006,14023985,28/02/2020,19 km após Bela Vista de Goiás - GO 020,GO
10,ACEBROFILINA 25MG/5ML XPE FR 120ML,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2001038,4,17.818,863,446303,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
11,ACEBROFILINA 25MG/5ML XPE PED 120ML GEN PET,LABORATÓRIO TEUTO BRASILEIRO,9149023,1 CAIXA,25.219,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
12,ACEBROFILINA 25MG/5ML XPE PED 120ML GEN PET,LABORATÓRIO TEUTO BRASILEIRO,9149025,550 CAIXAS,25.062,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
13,ACEBROFILINA 50MG /5ML XPE FE 120 ML,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",1918474,4,17.760,0,449299,2020-018151005-001,16/04/2020,CONTAGEM,MG
14,ACEBROFILINA 50MG/5ML XPE ADU 120ML GEN PET,LABORATÓRIO TEUTO BRASILEIRO,9153028,7 CAIXAS,24.135,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
15,ACEBROFILINA 50MG/5ML XPE ADU 120ML GEN PET,LABORATÓRIO TEUTO BRASILEIRO,9153037,300 CAIXAS,24.147,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
16,ACEBROFILINA 50MG/5ML XPE FR 120ML,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",1918424,4,17.740,0,446303,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
