Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/Furtada/ Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
1,896083021,Edwards Lifesciences,S1711003,-3,22270,2946/2020,21/11/2020,"Av. Doutor Andtônio João Abdala, 260 Cajamar/SP",SP
2,(Conj acessório)Progr Zoom Latitude,Boston Scientific do Brasil Ltda.,18145873,1,2001320,016-08033/2018-01,28/09/2018,"Avenida das Américas, 10300 Posto BR - Bairro Tijuca",RJ
3,(ZWT) Programador Zoom Latitude - Antena,Boston Scientific do Brasil Ltda.,21629726,1,1733542,418/2019,11/01/2019,"Em frente a fornte do Riberião, São Luis, Centro",MA
4,(ZWT) Programador Zoom Latitude - Antena,Boston Scientific do Brasil Ltda.,1007882,1,973080,016-08033/2018-01,28/09/2018,"Avenida das Américas, 10300 Posto BR - Bairro Tijuca",RJ
5,(ZWT) PROGRAMADOR ZOOM LATITUDE- ANTENA,BOSTON SCIENTIFIC DO BRASIL LTDA.,1005960,1,DANFE 001544865,2249-2019,20/03/2019,"RUA ARAÚJO, 355 - REPÚBLICA - SÃO PAULO -",SP
6,10008318001,Edwards Lifesciences,WBB368110,-2,51497,2946/2020,21/11/2020,"Av. Doutor Andtônio João Abdala, 260 Cajamar/SP",SP
7,1173B31,Edwards Lifesciences,61974564,-1,36794,2946/2020,21/11/2020,"Av. Doutor Andtônio João Abdala, 260 Cajamar/SP",SP
8,1262T34,Edwards Lifesciences,59716793,-1,40630;41176,2946/2020,21/11/2020,"Av. Doutor Andtônio João Abdala, 260 Cajamar/SP",SP
9,1-D MOIST +2.00 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,1876010106,2,3684859,NA,19/02/2020,SÃO PAULO,SP
10,1-D MOIST +2.00 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,1876010106,2,3684859,NA,19/02/2020,SÃO PAULO,SP
11,1-D MOIST +2.25 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,1286660107,1,3684859,NA,19/02/2020,SÃO PAULO,SP
12,1-D MOIST +2.25 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,1886590107,1,3684859,NA,19/02/2020,SÃO PAULO,SP
13,1-D MOIST +2.25 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,1286660107,1,3684859,NA,19/02/2020,SÃO PAULO,SP
14,1-D MOIST +2.25 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,1886590107,1,3684859,NA,19/02/2020,SÃO PAULO,SP
15,1-D MOIST +2.50 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,1288250104,2,3684859,NA,19/02/2020,SÃO PAULO,SP
16,1-D MOIST +2.50 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,1288250104,2,3684859,NA,19/02/2020,SÃO PAULO,SP
17,1-D MOIST +4.25 (8.5) LEN CON DES,JOHNSON & JOHNSON,382841010600000322,1,3824045,NA,10/08/2020,RIO DE JANEIRO,RJ
18,1-D MOIST +4.25 (8.5) LEN CON DES,JOHNSON & JOHNSON,382841010600000364,1,3824045,NA,10/08/2020,RIO DE JANEIRO,RJ
19,1-D MOIST +4.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,382933010200000346,1,3864904,NA,30/09/2020,SÃO PAULO,SP
20,1-D MOIST +4.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,382933010200000336,1,3864904,NA,30/09/2020,SÃO PAULO,SP
21,1-D MOIST -0.50 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,2162611193,1,3684858,NA,19/02/2020,SÃO PAULO,SP
22,1-D MOIST -0.50 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,2163450593,1,3684858,NA,19/02/2020,SÃO PAULO,SP
23,1-D MOIST -0.50 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,2162611193,1,3684858,NA,19/02/2020,SÃO PAULO,SP
24,1-D MOIST -0.50 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,2163450593,1,3684858,NA,19/02/2020,SÃO PAULO,SP
25,1-D MOIST -1.25 (8.5) LEN CON DES,JOHNSON & JOHNSON,138250010300000005,1,3777579,2020/619357,19/06/2020,CURITIBA,PR
26,1-D MOIST -1.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,138636010800000234,1,3821559-1,NA,27/08/2020,JUNDIAÍ,SP
27,1-D MOIST -1.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,138636010800000211,1,3824045,NA,10/08/2020,RIO DE JANEIRO,RJ
28,1-D MOIST -1.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,138636010800000212,1,3824045,NA,10/08/2020,RIO DE JANEIRO,RJ
29,1-D MOIST -1.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,138636010800000213,1,3824045,NA,10/08/2020,RIO DE JANEIRO,RJ
30,1-D MOIST -2.25 (8.5) LEN CON DES,JOHNSON & JOHNSON,R0000MT0XX,1,3797301,NA,29/07/2020,SÃO PAULO,SP
31,1-D MOIST -2.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,120572140100000011,1,3797301,NA,29/07/2020,SÃO PAULO,SP
32,1-D MOIST -2.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,120572140100000016,1,3797301,NA,29/07/2020,SÃO PAULO,SP
33,1-D MOIST -3.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,138602010300000397,1,3742000,NA,28/04/2020,SÃO PAULO,SP
34,1-D MOIST -3.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,R0000L42KB,1,3797301,NA,29/07/2020,SÃO PAULO,SP
35,1-D MOIST -3.25 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,2164311190,6,3653279,NA,13/01/2020,SÃO PAULO,SP
36,1-D MOIST -3.25 (8.5) DIAG LENTE CONTATO,JOHNSON & JOHNSON,2164311190,6,3653279,NA,13/01/2020,SÃO PAULO,SP
37,1-D MOIST -3.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,692567010400000252,1,3797301,NA,29/07/2020,SÃO PAULO,SP
38,1-D MOIST -4.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,R0000MJ2XG,1,3863074,4545/2020,26/09/2020,SÃO PAULO,SP
39,1-D MOIST -4.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,216664039700000099,1,3864904,NA,30/09/2020,SÃO PAULO,SP
40,1-D MOIST -4.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,216664039700000080,1,3864904,NA,30/09/2020,SÃO PAULO,SP
41,1-D MOIST -4.75 (8.5) LEN CON DES,JOHNSON & JOHNSON,216664039700000079,1,3864904,NA,30/09/2020,SÃO PAULO,SP
42,1-D MOIST -5.25 (8.5) LEN CON DES,JOHNSON & JOHNSON,216671069400000405,1,3821559-1,NA,27/08/2020,JUNDIAÍ,SP
43,1-D MOIST -5.25 (8.5) LEN CON DES,JOHNSON & JOHNSON,216671069400000404,1,3821559-1,NA,27/08/2020,JUNDIAÍ,SP
44,1-D MOIST -5.25 (8.5) LEN CON DES,JOHNSON & JOHNSON,574004011000000310,1,3863074,4545/2020,26/09/2020,SÃO PAULO,SP
45,1-D MOIST -5.25 (8.5) LEN CON DES,JOHNSON & JOHNSON,574004011000000292,1,3863074,4545/2020,26/09/2020,SÃO PAULO,SP
46,1-D MOIST -5.25 (8.5) LEN CON DES,JOHNSON & JOHNSON,574004011000000258,1,3863074,4545/2020,26/09/2020,SÃO PAULO,SP
47,1-D MOIST -5.25 (8.5) LEN CON DES,JOHNSON & JOHNSON,574004011000000248,1,3863074,4545/2020,26/09/2020,SÃO PAULO,SP
48,1-D MOIST -5.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,622794010100001537,1,3863070,4545/2020,26/09/2020,SÃO PAULO,SP
49,1-D MOIST -5.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,622794010100001566,1,3863070,4545/2020,26/09/2020,SÃO PAULO,SP
50,1-D MOIST -6.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216666029600000720,1,3821561-1,NA,27/08/2020,JUNDIAÍ,SP
51,1-D MOIST -6.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,216666029600000759,1,3821561-1,NA,27/08/2020,JUNDIAÍ,SP
52,1-D MOIST -6.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,518284010800000237,1,3864904,NA,30/09/2020,SÃO PAULO,SP
53,1-D MOIST -6.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,518284010800000227,1,3864904,NA,30/09/2020,SÃO PAULO,SP
54,1-D MOIST -7.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,120778140800000384,1,3863070,4545/2020,26/09/2020,SÃO PAULO,SP
55,1-D MOIST -7.50 (8.5) LEN CON DES,JOHNSON & JOHNSON,120778140800000399,1,3863070,4545/2020,26/09/2020,SÃO PAULO,SP
56,1-D MOIST-12.00 (8.5) LEN CON DES,JOHNSON & JOHNSON,383135010400000137,1,3950615,1349/2020,12/12/2020,OSASCO,SP
57,1-D OASYS +0.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,553336510400001808,1,3689985,NA,14/02/2020,SALVADOR,BA
58,1-D OASYS +1.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,554641010100000511,1,3864904,NA,30/09/2020,SÃO PAULO,SP
59,1-D OASYS +1.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,554641010100000544,1,3864904,NA,30/09/2020,SÃO PAULO,SP
60,1-D OASYS +1.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,554641010100000556,1,3864904,NA,30/09/2020,SÃO PAULO,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/Furtada/ Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
61,1-D OASYS +1.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,554641010100000563,1,3864904,NA,30/09/2020,SÃO PAULO,SP
62,1-D OASYS +1.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,552901010100002299,1,3689985,NA,14/02/2020,SALVADOR,BA
63,1-D OASYS +1.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,553263010700003875,1,3689985,NA,14/02/2020,SALVADOR,BA
64,1-D OASYS +2.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631121510100000607,1,3689985,NA,14/02/2020,SALVADOR,BA
65,1-D OASYS +2.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,564273010100000307,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
66,1-D OASYS +2.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,564273010100000357,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
67,1-D OASYS +2.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,553619010700004150,1,3689985,NA,14/02/2020,SALVADOR,BA
68,1-D OASYS +3.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,552932010600002179,1,3689985,NA,14/02/2020,SALVADOR,BA
69,1-D OASYS +3.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,553338010200004342,1,3689985,NA,14/02/2020,SALVADOR,BA
70,1-D OASYS +4.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,552931010800000027,1,3928134,039-07757/2020,01/12/2020,RIO DE JANEIRO,RJ
71,1-D OASYS +4.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,552963010600002348,1,3689985,NA,14/02/2020,SALVADOR,BA
72,1-D OASYS +4.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,564140010500000194,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
73,1-D OASYS +4.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631091010900001131,1,3689985,NA,14/02/2020,SALVADOR,BA
74,1-D OASYS +5.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,552961010900002371,1,3689985,NA,14/02/2020,SALVADOR,BA
75,1-D OASYS +5.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,552962010400001875,1,3689985,NA,14/02/2020,SALVADOR,BA
76,1-D OASYS +8.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,564119011100000026,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
77,1-D OASYS +8.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,564119011100000016,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
78,1-D OASYS -0.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,401665010200000550,1,3916369,2521/2020,18/11/2020,SÃO PAULO,SP
79,1-D OASYS -1.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631527010300001021,1,3689985,NA,14/02/2020,SALVADOR,BA
80,1-D OASYS -1.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,553869510700002200,1,3774239,799/2020,15/06/2020,GUARUJÁ,SP
81,1-D OASYS -1.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,564632010200000082,1,3916369,2521/2020,18/11/2020,SÃO PAULO,SP
82,1-D OASYS -1.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631458010800001281,1,3689985,NA,14/02/2020,SALVADOR,BA
83,1-D OASYS -1.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631458010800001388,1,3689985,NA,14/02/2020,SALVADOR,BA
84,1-D OASYS -1.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564353010100003021,1,3735922,NA,28/04/2020,BARUERI,SP
85,1-D OASYS -1.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564353010100003022,1,3735922,NA,28/04/2020,BARUERI,SP
86,1-D OASYS -1.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564353010100003021,1,3735922,NA,28/04/2020,BARUERI,SP
87,1-D OASYS -1.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564353010100003022,1,3735922,NA,28/04/2020,BARUERI,SP
88,1-D OASYS -1.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,554624011100000518,1,3821560-1,NA,27/08/2020,JUNDIAÍ,SP
89,1-D OASYS -1.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,554624011100000512,1,3824045,NA,10/08/2020,RIO DE JANEIRO,RJ
90,1-D OASYS -1.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,554624011100000557,1,3824045,NA,10/08/2020,RIO DE JANEIRO,RJ
91,1-D OASYS -1.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,554624011100000558,1,3824045,NA,10/08/2020,RIO DE JANEIRO,RJ
92,1-D OASYS -1.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564155010100002271,1,3689985,NA,14/02/2020,SALVADOR,BA
93,1-D OASYS -1.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564155010100002433,1,3774239,799/2020,15/06/2020,GUARUJÁ,SP
94,1-D OASYS -2.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,631932010500000364,1,3746342,NA,28/05/2020,CURITIBA,PR
95,1-D OASYS -2.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,631932010500000438,1,3746342,NA,28/05/2020,CURITIBA,PR
96,1-D OASYS -2.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,631932010500000448,1,3746342,NA,28/05/2020,CURITIBA,PR
